episode,outcome,reward,loss,epsilon,buffer,moves
547,W,5.13,0.055,0.064,50000,30
548,W,5.35,0.07,0.064,50000,27
549,W,2.77,0.046,0.064,50000,28
550,W,3.22,0.066,0.063,50000,26
551,W,5.86,0.063,0.063,50000,30
552,W,1.41,0.055,0.063,50000,12
553,W,6.56,0.06,0.063,50000,45
554,W,4.89,0.056,0.062,50000,32
555,W,3.24,0.057,0.062,50000,19
556,W,6.9,0.049,0.062,50000,44
557,W,6.96,0.059,0.061,50000,25
558,W,7.07,0.05,0.061,50000,30
559,W,7.59,0.061,0.061,50000,36
560,W,6.15,0.05,0.06,50000,38
561,W,3.18,0.043,0.06,50000,35
562,W,8.48,0.061,0.06,50000,56
563,W,5.17,0.049,0.059,50000,32
564,W,1.45,0.074,0.059,50000,19
565,W,7.08,0.051,0.059,50000,30
566,W,4.78,0.062,0.059,50000,27
567,W,5.98,0.06,0.058,50000,32
568,W,8.31,0.053,0.058,50000,29
569,W,6.78,0.066,0.058,50000,46
570,W,3.97,0.042,0.057,50000,27
571,W,6.62,0.06,0.057,50000,38
572,W,2.93,0.046,0.057,50000,19
573,W,3.16,0.045,0.057,50000,18
574,W,2.11,0.066,0.056,50000,15
575,W,4.26,0.05,0.056,50000,29
576,W,7.47,0.057,0.056,50000,36
577,W,1.43,0.056,0.055,50000,18
578,W,3.15,0.054,0.055,50000,18
579,W,4.77,0.044,0.055,50000,35
580,W,4.2,0.047,0.055,50000,37
581,W,6.91,0.064,0.054,50000,37
582,W,5.82,0.043,0.054,50000,28
583,W,6.34,0.048,0.054,50000,38
584,W,8.22,0.054,0.054,50000,40
585,W,8.33,0.054,0.053,50000,39
586,W,12.65,0.054,0.053,50000,46
587,W,5.14,0.055,0.053,50000,35
588,W,2.14,0.053,0.052,50000,19
589,W,2.52,0.054,0.052,50000,17
590,W,2.15,0.054,0.052,50000,20
591,W,2.53,0.045,0.052,50000,20
592,W,2.93,0.053,0.051,50000,23
593,W,5.67,0.045,0.051,50000,32
594,W,4.29,0.057,0.051,50000,29
595,W,8.22,0.053,0.051,50000,32
596,W,5.96,0.063,0.05,50000,27
597,W,6.13,0.05,0.05,50000,34
598,W,3.23,0.061,0.05,50000,21
599,W,7.31,0.048,0.05,50000,32
600,W,4.32,0.048,0.049,50000,28
601,W,4.58,0.069,0.049,50000,27
602,W,2.51,0.049,0.049,50000,18
603,W,2.48,0.051,0.049,50000,24
604,W,2.37,0.056,0.048,50000,24
605,W,5.44,0.042,0.048,50000,32
606,W,4.31,0.064,0.048,50000,21
607,W,4.99,0.047,0.048,50000,28
608,W,7.12,0.043,0.047,50000,40
609,W,10.31,0.049,0.047,50000,46
610,W,2.93,0.055,0.047,50000,26
611,W,7.93,0.044,0.047,50000,48
612,W,4.65,0.06,0.047,50000,24
613,W,8.9,0.062,0.046,50000,34
614,W,6.52,0.054,0.046,50000,35
615,W,6.75,0.051,0.046,50000,29
616,W,4.37,0.041,0.046,50000,33
617,W,7.59,0.047,0.045,50000,39
618,L,-0.98,0.045,0.045,50000,25
619,W,5.62,0.062,0.045,50000,30
620,W,2.92,0.059,0.045,50000,18
621,W,5.14,0.052,0.044,50000,32
622,W,4.19,0.054,0.044,50000,26
623,W,4.25,0.044,0.044,50000,24
624,W,4.33,0.052,0.044,50000,27
625,W,5.38,0.042,0.044,50000,33
626,W,3.35,0.048,0.043,50000,27
627,W,4.33,0.053,0.043,50000,22
628,W,3.9,0.038,0.043,50000,42
629,W,6.93,0.048,0.043,50000,44
630,L,0.93,0.05,0.043,50000,32
631,W,7.23,0.038,0.042,50000,33
632,W,3.53,0.044,0.042,50000,18
633,W,8.07,0.047,0.042,50000,38
634,W,3.34,0.045,0.042,50000,23
635,W,4.02,0.053,0.041,50000,24
636,W,2.12,0.049,0.041,50000,16
637,W,1.46,0.046,0.041,50000,27
638,W,2.05,0.054,0.041,50000,17
639,W,2.1,0.058,0.041,50000,10
640,W,5.45,0.07,0.04,50000,30
641,W,6.87,0.035,0.04,50000,39
642,W,6.92,0.046,0.04,50000,33
643,W,2.04,0.046,0.04,50000,16
644,W,7.4,0.048,0.04,50000,36
645,W,3.65,0.046,0.039,50000,25
646,W,4.63,0.057,0.039,50000,30
647,W,6.92,0.057,0.039,50000,32
648,W,9.83,0.048,0.039,50000,38
649,W,6.61,0.066,0.039,50000,35
650,W,5.09,0.048,0.038,50000,28
651,W,2.93,0.057,0.038,50000,19
