episode,outcome,reward,loss,epsilon,buffer,moves
470,W,10.49,0.546,0.095,50000,36
471,W,10.95,0.417,0.094,50000,30
472,W,10.68,0.713,0.094,50000,30
473,W,11.08,0.288,0.093,50000,27
474,W,14.2,0.324,0.093,50000,56
475,W,10.64,0.286,0.092,50000,23
476,W,10.64,0.479,0.092,50000,28
477,W,13.41,0.391,0.092,50000,38
478,W,12.85,0.557,0.091,50000,38
479,W,10.85,0.277,0.091,50000,32
480,W,10.95,0.395,0.09,50000,29
481,W,10.63,0.434,0.09,50000,21
482,W,11.04,0.615,0.089,50000,25
483,W,10.37,0.49,0.089,50000,25
484,W,10.73,0.414,0.088,50000,24
485,W,10.77,0.321,0.088,50000,37
486,W,10.53,0.517,0.088,50000,20
487,W,10.25,0.313,0.087,50000,19
488,W,10.88,0.383,0.087,50000,35
489,W,10.33,0.306,0.086,50000,19
490,W,11.05,0.319,0.086,50000,29
491,W,10.54,0.366,0.085,50000,22
492,W,11.82,0.428,0.085,50000,46
493,W,12.2,0.302,0.084,50000,41
494,W,10.24,0.564,0.084,50000,22
495,W,13.92,0.455,0.084,50000,56
496,W,11.04,0.359,0.083,50000,30
497,W,10.66,0.365,0.083,50000,26
498,L,0.16,0.44,0.082,50000,47
499,W,10.66,0.485,0.082,50000,25
500,W,10.03,0.345,0.082,50000,14
501,W,10.33,0.68,0.081,50000,18
502,W,10.22,0.371,0.081,50000,20
503,W,11.14,0.504,0.08,50000,31
504,L,-1.36,0.769,0.08,50000,23
505,W,11.88,0.536,0.08,50000,41
506,W,12.12,0.379,0.079,50000,38
507,W,12.01,0.36,0.079,50000,42
508,W,12.43,0.413,0.078,50000,51
509,W,13.4,0.401,0.078,50000,59
510,W,12.95,0.499,0.078,50000,33
511,W,11.03,0.466,0.077,50000,30
512,W,10.94,0.508,0.077,50000,28
513,W,10.92,0.264,0.076,50000,23
514,W,11.45,0.413,0.076,50000,42
515,W,11.04,0.379,0.076,50000,29
516,W,11.52,0.338,0.075,50000,32
517,W,10.95,0.466,0.075,50000,30
518,W,11.28,0.392,0.075,50000,36
519,W,12.26,0.524,0.074,50000,37
520,W,11.87,0.458,0.074,50000,26
521,L,-0.17,0.507,0.073,50000,33
522,W,11.26,0.311,0.073,50000,28
523,W,11.84,0.411,0.073,50000,41
524,W,12.96,0.523,0.072,50000,39
