episode,outcome,reward,loss,epsilon,buffer,moves
545,W,1.13,0.027,0.065,50000,26
546,W,2.15,0.023,0.065,50000,35
547,W,1.72,0.023,0.064,50000,22
548,W,4.43,0.037,0.064,50000,33
549,W,4.12,0.033,0.064,50000,35
550,W,2.81,0.037,0.063,50000,44
551,W,1.23,0.04,0.063,50000,28
552,W,3.21,0.04,0.063,50000,28
553,W,3.74,0.028,0.063,50000,36
554,W,3.95,0.021,0.062,50000,39
555,W,1.44,0.026,0.062,50000,30
556,W,1.72,0.043,0.062,50000,27
557,W,1.63,0.046,0.061,50000,19
558,W,2.47,0.053,0.061,50000,32
559,W,1.74,0.035,0.061,50000,41
560,W,5.51,0.032,0.06,50000,56
561,W,1.92,0.021,0.06,50000,33
562,W,2.75,0.021,0.06,50000,33
563,W,4.97,0.034,0.059,50000,43
564,W,1.1,0.02,0.059,50000,16
565,W,3.13,0.038,0.059,50000,30
566,W,3.28,0.038,0.059,50000,28
567,W,3.13,0.022,0.058,50000,38
568,W,3.23,0.028,0.058,50000,33
569,W,2.75,0.033,0.058,50000,31
570,W,5.04,0.02,0.057,50000,36
571,W,1.86,0.042,0.057,50000,19
572,W,3.39,0.029,0.057,50000,34
573,W,1.02,0.021,0.057,50000,12
574,W,3.01,0.018,0.056,50000,28
575,W,1.3,0.021,0.056,50000,29
576,W,4.18,0.037,0.056,50000,46
577,W,2.67,0.031,0.055,50000,27
578,L,0.98,0.029,0.055,50000,33
579,W,2.51,0.037,0.055,50000,25
580,W,3.2,0.03,0.055,50000,28
581,W,3.77,0.029,0.054,50000,44
582,W,2.45,0.041,0.054,50000,33
583,W,1.78,0.046,0.054,50000,14
584,W,1.29,0.024,0.054,50000,18
585,W,2.03,0.029,0.053,50000,22
586,L,-0.51,0.029,0.053,50000,33
587,W,3.43,0.028,0.053,50000,34
588,W,3.57,0.031,0.052,50000,31
589,W,2.53,0.038,0.052,50000,34
590,W,3.5,0.044,0.052,50000,44
591,W,1.18,0.026,0.052,50000,18
592,W,1.21,0.029,0.051,50000,22
593,W,3.34,0.039,0.051,50000,34
594,W,3.43,0.022,0.051,50000,32
595,W,3.33,0.04,0.051,50000,36
596,W,2.99,0.032,0.05,50000,33
597,W,2.83,0.024,0.05,50000,32
598,W,2.71,0.025,0.05,50000,32
599,W,1.74,0.025,0.05,50000,23
600,W,1.88,0.061,0.049,50000,20
601,W,2.37,0.024,0.049,50000,31
602,W,2.04,0.039,0.049,50000,28
603,L,0.82,0.029,0.049,50000,29
604,W,3.76,0.037,0.048,50000,31
605,W,3.71,0.034,0.048,50000,36
606,W,3.63,0.029,0.048,50000,36
607,W,1.81,0.045,0.048,50000,26
608,W,1.41,0.041,0.047,50000,24
609,W,1.88,0.035,0.047,50000,27
610,W,2.94,0.035,0.047,50000,36
611,W,1.31,0.031,0.047,50000,16
612,W,1.61,0.033,0.047,50000,12
613,W,2.64,0.027,0.046,50000,29
614,W,3.18,0.018,0.046,50000,34
615,W,1.95,0.022,0.046,50000,37
616,W,2.86,0.033,0.046,50000,33
617,W,3.23,0.019,0.045,50000,27
618,W,2.23,0.024,0.045,50000,32
619,W,3.22,0.02,0.045,50000,32
620,W,3.06,0.025,0.045,50000,35
621,W,1.54,0.026,0.044,50000,31
622,W,2.14,0.044,0.044,50000,23
623,W,4.4,0.028,0.044,50000,36
624,W,1.83,0.019,0.044,50000,25
625,W,1.19,0.039,0.044,50000,17
626,W,2.65,0.022,0.043,50000,40
627,W,4.27,0.028,0.043,50000,30
628,W,2.44,0.022,0.043,50000,32
629,W,1.69,0.03,0.043,50000,19
630,W,2.82,0.022,0.043,50000,34
631,W,1.11,0.023,0.042,50000,15
632,W,3.86,0.019,0.042,50000,39
633,W,1.9,0.029,0.042,50000,13
634,W,2.9,0.019,0.042,50000,35
635,W,1.7,0.024,0.041,50000,11
636,W,2.86,0.039,0.041,50000,34
637,W,1.31,0.024,0.041,50000,19
638,W,3.4,0.022,0.041,50000,33
639,W,4.44,0.026,0.041,50000,36
640,W,2.73,0.029,0.04,50000,42
641,W,1.45,0.031,0.04,50000,19
642,W,3.81,0.025,0.04,50000,44
643,W,3.94,0.027,0.04,50000,36
644,W,4.3,0.027,0.04,50000,33
645,W,1.91,0.026,0.039,50000,19
646,W,1.49,0.028,0.039,50000,36
647,W,1.72,0.016,0.039,50000,25
